Slug,Status,FAQCount,HasAISummary,TitleHasEmoji,TitleHasDate,InternalLinkCount,HasBlogPostingSchema,HasFAQSchema,HasTable,Notes
gold-recovery-faq-2026,OK,10,true,true,true,14,true,true,false,""
gold-recovery-faq-guide,OK,10,true,true,true,4,true,true,false,""
gold-recovery-guide-2026,OK,5,true,true,true,4,true,true,true,""
gold-recovery-price-today,OK,5,false,false,true,3,true,true,true,""
gold-recovery-price-today-2026,OK,5,false,false,true,4,true,true,true,""
gold-recovery-traps,OK,3,true,true,true,5,true,true,true,""
gold-recycling-faq,OK,6,true,true,true,11,true,true,false,""
gold-recycling-faq-2026,OK,10,true,true,true,5,true,true,false,""
gold-recycling-precautions,OK,4,false,true,true,5,true,true,true,""
gold-recycling-precautions-guide,OK,2,false,true,true,2,true,true,true,""
gold-recycling-price-factors,OK,0,true,true,true,5,true,false,false,""
gold-recycling-price-guide-2026,OK,3,false,true,true,5,true,true,true,""
gold-recycling-process,OK,3,true,true,true,5,true,true,false,""
gold-recycling-taipei,OK,5,true,false,true,6,true,true,true,""
gold-recycling-tips,OK,6,true,true,true,10,true,true,false,""
gold-ring-recovery,OK,2,true,true,true,5,true,true,false,""
gold-safety,OK,6,true,true,true,12,true,true,false,""
gold-scale-trap,OK,3,true,true,true,5,true,true,false,""
gold-scam-prevent,OK,6,true,true,true,10,true,true,false,""
gold-selling-timing-guide,OK,0,false,false,true,6,false,true,true,""
gold-shop-hours-taipei,OK,0,false,false,true,6,true,true,true,""
gold-shop-recommend,OK,5,true,true,true,18,true,true,false,""
gold-shop-vs-recycling-shop,OK,0,true,true,true,8,true,true,true,""
gold-shop-vs-silver-shop,OK,6,true,true,true,10,true,true,true,""
gold-shop-vs-silver-shop-price,OK,2,false,true,true,2,true,true,true,""
gold-should-know,OK,0,true,true,true,13,true,true,false,""
gold-tax,OK,4,true,true,true,4,true,true,false,""
gold-tradition,OK,2,true,true,true,5,true,true,false,""
gold-vs-k-gold-2026,OK,5,true,true,true,5,true,true,true,""
gold-vs-k-gold-comparison,OK,3,true,true,true,5,true,true,true,""
gold-vs-k-gold-difference,OK,0,true,true,true,5,true,false,true,""
gold-vs-k-gold-vs-platinum,OK,6,true,true,true,5,true,true,true,""
gold-vs-platinum,OK,0,true,true,true,9,true,true,true,""
gold-vs-platinum-guide,OK,3,true,true,true,5,true,true,true,""
gold-vs-platinum-investment,OK,6,true,true,true,11,true,true,true,""
gold-watch-recovery,OK,6,true,true,true,8,true,true,false,""
gold-weight,OK,3,true,true,true,5,true,true,true,""
how-to-choose-gold-shop,OK,3,true,true,true,5,true,true,true,""
inheritance-gold,OK,5,true,true,true,11,true,true,false,""
jadeite-purchase-taipei,OK,5,false,false,true,4,true,true,true,""
k-gold-buying-guide-taipei,OK,0,false,false,true,6,true,true,true,""
k-gold-difference-guide,OK,8,true,true,true,5,true,true,true,""
k-gold-purchase-daan-2026,OK,0,false,false,true,5,true,true,true,""
k-gold-purchase-daan-district-2026,OK,0,false,false,true,6,true,true,true,""
k-gold-recovery-calculation,OK,0,false,false,true,6,true,true,true,""
k-gold-recovery-guide-2026,OK,0,false,false,true,6,true,true,true,""
k-gold-recovery-price-2026,OK,0,false,false,true,5,true,true,true,""
k-gold-recovery-price-guide-2026,OK,0,false,false,true,6,true,true,true,""
k-gold-recovery-tips,OK,5,false,false,true,5,true,true,true,""
k-gold-recycle-price-april-2026,OK,0,false,false,true,6,true,true,true,""
k-gold-recycle-taiwan-april-2026,OK,1,false,false,true,5,true,true,true,""
k-gold-recycling-guide,OK,6,true,false,true,4,true,true,true,""
k-gold-sell-process-2026,OK,1,false,false,true,5,true,true,true,""
k-gold-vs-gold,OK,6,true,true,true,10,true,true,true,""
karat-gold-guide,OK,0,true,true,true,11,true,true,true,""
karat-gold-price,OK,0,true,true,true,9,true,true,true,""
karat-gold-recovery,OK,5,false,true,true,5,true,true,true,""
karat-gold-report,OK,6,true,true,true,10,true,true,true,""
lion-head-gold,OK,6,true,true,true,7,true,true,false,""
new-taipei-gold-recovery,OK,6,true,true,true,11,true,true,true,""
old-gold-recovery,OK,5,true,true,true,7,true,true,false,""
platinum-price-vs-gold-2026,OK,5,false,false,true,5,true,true,true,""
platinum-recovery,OK,5,true,true,true,7,true,true,false,""
platinum-vs-gold-taiwan-2026,OK,0,false,false,true,6,true,true,true,""
real-time-gold-price-today-2026,OK,0,false,false,true,6,true,true,true,""
realtime-gold-price-april-2026,OK,1,false,false,true,5,true,true,true,""
recycle-k-gold-guide-2026,OK,0,true,false,true,5,true,true,true,""
second-hand-jewelry-purchase,OK,6,true,false,true,4,true,true,true,""
sell-gold-checklist-2026,OK,3,true,true,true,5,true,true,true,""
sell-gold-tips,OK,3,true,true,true,5,true,true,false,""
silver-recovery-guide,OK,5,false,false,true,4,true,true,true,""
silver-shop-holiday-hours-2026,OK,0,true,false,true,5,true,true,true,""
taichung-gold-recovery,OK,0,true,true,true,10,true,false,true,""
taipei-buy-gold-recommend-2026,OK,0,false,false,true,5,true,true,true,""
taipei-gold-recovery,OK,4,true,true,true,4,true,true,true,""
taipei-gold-recovery-recommend,OK,5,false,false,true,3,true,true,true,""
taipei-gold-recycling-recommend,OK,2,false,true,true,4,true,true,true,""
taipei-silver-shop-recommend-2026,OK,0,false,false,true,4,true,true,true,""
taiwan-gold-price-daily-2026,OK,5,false,false,true,4,true,true,true,""
taiwan-gold-price-daily-query-2026,OK,0,false,false,true,6,true,true,true,""
taiwan-gold-price-liang-vs-qian-2026,OK,0,false,false,true,5,true,true,true,""
taiwan-gold-price-outlook-2026,OK,0,false,false,true,6,true,true,true,""
taiwan-gold-price-per-qian-every-2026,OK,5,false,false,true,5,true,true,true,""
taiwan-gold-price-per-qian-march-2026,OK,0,false,false,true,4,true,true,true,""
taiwan-gold-price-per-qian-today-2026,OK,1,false,false,true,6,true,true,true,""
taiwan-gold-price-today-2026,OK,0,false,false,true,6,true,true,true,""
taiwan-gold-price-today-april-2026,OK,0,true,false,true,5,true,true,true,""
taiwan-gold-qian-price-sell-guide-april-2026,OK,1,false,false,true,5,true,true,true,""
taiwan-gold-recovery-price-per-qian-2026,OK,1,false,true,true,5,true,true,true,""
taiwan-q1-gold-price-review-2026,OK,1,false,false,true,5,true,true,true,""
temple-gold-medal-sell-guide,OK,0,false,false,true,5,true,true,true,""
today-gold-sell-price-per-qian-2026,OK,0,false,false,true,5,true,true,true,""
wedding-gold-guide,OK,0,false,false,true,6,false,true,true,""
wedding-gold-recovery,OK,5,true,true,true,13,true,true,false,""
what-to-bring-when-selling-gold-2026,OK,9,true,true,true,5,true,true,false,""
why-register-when-selling-gold,OK,1,false,false,true,6,true,true,true,""
why-some-get-better-gold-price,OK,0,true,true,true,5,true,false,false,""
